term,frequency,first_year,in_reference,status
的,56638,2015.0,True,in_reference
在,14879,2015.0,True,in_reference
和,11781,2015.0,True,in_reference
是,11319,2015.0,True,in_reference
了,10988,2015.0,True,in_reference
不,8735,2015.0,True,in_reference
来,6883,2015.0,True,in_reference
家,6651,2015.0,True,in_reference
为,5947,2015.0,True,in_reference
中国,5607,2015.0,True,in_reference
中,5070,2015.0,True,in_reference
等,4709,2015.0,True,in_reference
发展,4629,2015.0,True,in_reference
与,4465,2015.0,True,in_reference
对,4355,2015.0,True,in_reference
也,4350,2015.0,True,in_reference
有,4288,2015.0,True,in_reference
新,4054,2015.0,True,in_reference
上,4029,2015.0,True,in_reference
这,3997,2015.0,True,in_reference
大,3596,2015.0,True,in_reference
多,3414,2015.0,True,in_reference
到,3364,2015.0,True,in_reference
以,3207,2015.0,True,in_reference
国,3205,2015.0,True,in_reference
将,3202,2015.0,True,in_reference
个,3074,2015.0,True,in_reference
更,3069,2015.0,True,in_reference
要,2901,2015.0,True,in_reference
年,2811,2015.0,True,in_reference
人,2690,2015.0,True,in_reference
我们,2580,2015.0,True,in_reference
从,2536,2015.0,True,in_reference
就,2511,2015.0,True,in_reference
工作,2360,2015.0,True,in_reference
我,2339,2015.0,True,in_reference
他,2282,2015.0,True,in_reference
并,2196,2015.0,True,in_reference
都,2150,2015.0,True,in_reference
建设,2126,2015.0,True,in_reference
元,2115,2015.0,True,in_reference
经济,2076,2015.0,True,in_reference
企业,2040,2015.0,True,in_reference
最,2028,2015.0,True,in_reference
下,1977,2015.0,True,in_reference
两,1968,2015.0,True,in_reference
说,1968,2015.0,True,in_reference
市场,1967,2015.0,True,in_reference
后,1961,2015.0,True,in_reference
美国,1960,2015.0,True,in_reference
能,1921,2015.0,True,in_reference
会,1907,2015.0,True,in_reference
好,1906,2015.0,True,in_reference
合作,1888,2017.0,True,in_reference
而,1870,2015.0,True,in_reference
世界,1830,2015.0,True,in_reference
一个,1775,2015.0,True,in_reference
上海,1767,2015.0,True,in_reference
于,1767,2015.0,True,in_reference
社会,1767,2015.0,True,in_reference
被,1740,2015.0,True,in_reference
问题,1724,2015.0,True,in_reference
人民,1719,2015.0,True,in_reference
但,1709,2015.0,True,in_reference
次,1707,2015.0,True,in_reference
城市,1655,2015.0,True,in_reference
高,1625,2015.0,True,in_reference
价,1580,2015.0,True,in_reference
让,1575,2015.0,True,in_reference
还,1563,2015.0,True,in_reference
技术,1544,2017.0,True,in_reference
国际,1543,2015.0,True,in_reference
通过,1534,2015.0,True,in_reference
党,1501,2015.0,True,in_reference
组织,1495,2015.0,True,in_reference
公司,1486,2015.0,True,in_reference
地,1486,2015.0,True,in_reference
服务,1481,2015.0,True,in_reference
全球,1463,2017.0,True,in_reference
文化,1438,2015.0,True,in_reference
着,1436,2015.0,True,in_reference
之,1432,2015.0,True,in_reference
增长,1416,2015.0,True,in_reference
全国,1370,2015.0,True,in_reference
创新,1354,2015.0,True,in_reference
未,1351,2015.0,True,in_reference
向,1328,2015.0,True,in_reference
实现,1318,2015.0,True,in_reference
政策,1313,2015.0,True,in_reference
推进,1292,2015.0,True,in_reference
出,1291,2015.0,True,in_reference
推动,1291,2015.0,True,in_reference
成为,1289,2015.0,True,in_reference
重要,1275,2015.0,True,in_reference
疫情,1274,2020.0,True,in_reference
已,1267,2015.0,True,in_reference
其,1247,2015.0,True,in_reference
安全,1233,2015.0,True,in_reference
同,1197,2015.0,True,in_reference
科技,1195,2015.0,True,in_reference
表示,1185,2015.0,True,in_reference
起,1180,2015.0,True,in_reference
至,1176,2015.0,True,in_reference
时,1174,2015.0,True,in_reference
自己,1173,2015.0,True,in_reference
可以,1167,2015.0,True,in_reference
全面,1164,2015.0,True,in_reference
把,1164,2015.0,True,in_reference
可,1163,2015.0,True,in_reference
项目,1145,2015.0,True,in_reference
历史,1144,2015.0,True,in_reference
作为,1139,2015.0,True,in_reference
进行,1134,2015.0,True,in_reference
前,1124,2015.0,True,in_reference
很,1124,2015.0,True,in_reference
地区,1110,2015.0,True,in_reference
看,1104,2015.0,True,in_reference
持续,1103,2015.0,True,in_reference
及,1099,2015.0,True,in_reference
生态,1097,2015.0,True,in_reference
产品,1096,2015.0,True,in_reference
给,1075,2015.0,True,in_reference
领域,1071,2015.0,True,in_reference
没有,1065,2015.0,True,in_reference
用,1064,2015.0,True,in_reference
么,1060,2015.0,True,in_reference
做,1049,2015.0,True,in_reference
管理,1046,2015.0,True,in_reference
活动,1037,2015.0,True,in_reference
坚持,1036,2015.0,True,in_reference
研究,1032,2015.0,True,in_reference
则,1030,2015.0,True,in_reference
汽车,1030,2015.0,True,in_reference
首,1026,2015.0,True,in_reference
生活,1024,2015.0,True,in_reference
数据,1013,2015.0,True,in_reference
方面,1001,2015.0,True,in_reference
副,994,2015.0,True,in_reference
名,988,2015.0,True,in_reference
时代,988,2015.0,True,in_reference
支持,987,2015.0,True,in_reference
政府,985,2015.0,True,in_reference
第一,984,2015.0,True,in_reference
今年,980,2015.0,True,in_reference
保护,979,2015.0,True,in_reference
加强,978,2015.0,True,in_reference
提供,960,2015.0,True,in_reference
产业,957,2015.0,True,in_reference
时间,955,2015.0,True,in_reference
环境,943,2015.0,True,in_reference
体系,936,2015.0,True,in_reference
由,935,2015.0,True,in_reference
记者,911,2015.0,True,in_reference
自,904,2015.0,True,in_reference
提升,902,2015.0,True,in_reference
质量,901,2015.0,True,in_reference
中心,899,2017.0,True,in_reference
金融,892,2017.0,True,in_reference
开展,891,2015.0,True,in_reference
教育,890,2015.0,True,in_reference
过,874,2015.0,True,in_reference
关系,866,2015.0,True,in_reference
以及,863,2015.0,True,in_reference
他们,861,2015.0,True,in_reference
共同,852,2015.0,True,in_reference
制度,850,2015.0,True,in_reference
所,842,2015.0,True,in_reference
得,839,2015.0,True,in_reference
里,836,2015.0,True,in_reference
已经,832,2015.0,True,in_reference
同时,831,2015.0,True,in_reference
比,830,2015.0,True,in_reference
人员,827,2015.0,True,in_reference
断,810,2015.0,True,in_reference
其中,808,2015.0,True,in_reference
种,806,2015.0,True,in_reference
基础,802,2015.0,True,in_reference
该,791,2015.0,True,in_reference
集团,791,2017.0,True,in_reference
再,790,2015.0,True,in_reference
位,789,2015.0,True,in_reference
大学,786,2015.0,True,in_reference
相关,776,2015.0,True,in_reference
能力,773,2015.0,True,in_reference
战略,769,2015.0,True,in_reference
主席,764,2015.0,True,in_reference
改革,758,2015.0,True,in_reference
情况,753,2015.0,True,in_reference
这些,751,2015.0,True,in_reference
发布,750,2015.0,True,in_reference
认为,750,2015.0,True,in_reference
北京,748,2015.0,True,in_reference
实施,745,2015.0,True,in_reference
需要,742,2015.0,True,in_reference
仅,741,2015.0,True,in_reference
会议,741,2015.0,True,in_reference
去,737,2015.0,True,in_reference
生产,734,2015.0,True,in_reference
带,733,2015.0,True,in_reference
目前,730,2015.0,True,in_reference
机制,729,2015.0,True,in_reference
要求,728,2015.0,True,in_reference
可能,726,2015.0,True,in_reference
越,726,2015.0,True,in_reference
或,723,2015.0,True,in_reference
连,722,2015.0,True,in_reference
中央,721,2015.0,True,in_reference
政治,717,2015.0,True,in_reference
这个,702,2015.0,True,in_reference
地方,695,2015.0,True,in_reference
主要,694,2015.0,True,in_reference
品牌,694,2018.0,True,in_reference
影响,693,2015.0,True,in_reference
方式,692,2015.0,True,in_reference
她,690,2015.0,True,in_reference
只,688,2015.0,True,in_reference
行业,685,2015.0,True,in_reference
阅读,685,2017.0,True,in_reference
贸易,682,2018.0,True,in_reference
各,681,2015.0,True,in_reference
新闻,676,2015.0,True,in_reference
进一步,673,2015.0,True,in_reference
内,671,2015.0,True,in_reference
完善,669,2015.0,True,in_reference
信息,663,2015.0,True,in_reference
积极,662,2015.0,True,in_reference
又,661,2015.0,True,in_reference
参与,659,2015.0,True,in_reference
核心,658,2015.0,True,in_reference
香港,658,2019.0,True,in_reference
包括,657,2015.0,True,in_reference
更加,657,2015.0,True,in_reference
显示,653,2015.0,True,in_reference
投资,652,2017.0,True,in_reference
保障,648,2015.0,True,in_reference
一些,646,2015.0,True,in_reference
基金,645,2015.0,True,in_reference
条,645,2015.0,True,in_reference
平台,642,2015.0,True,in_reference
销量,636,2017.0,True,in_reference
科学,631,2015.0,True,in_reference
农村,629,2015.0,True,in_reference
精神,623,2015.0,True,in_reference
能源,622,2015.0,True,in_reference
网络,614,2015.0,True,in_reference
走,613,2015.0,True,in_reference
治理,611,2015.0,True,in_reference
那,611,2015.0,True,in_reference
风险,609,2015.0,True,in_reference
正,607,2015.0,True,in_reference
届,605,2015.0,True,in_reference
艺术,603,2015.0,True,in_reference
总书记,601,2015.0,True,in_reference
水平,600,2015.0,True,in_reference
你,599,2015.0,True,in_reference
开始,599,2015.0,True,in_reference
重点,599,2015.0,True,in_reference
据,597,2015.0,True,in_reference
完成,593,2015.0,True,in_reference
部门,593,2015.0,True,in_reference
人类,592,2015.0,True,in_reference
提高,592,2015.0,True,in_reference
重大,591,2015.0,True,in_reference
机构,588,2015.0,True,in_reference
们,585,2015.0,True,in_reference
小,584,2015.0,True,in_reference
因为,583,2015.0,True,in_reference
资源,583,2015.0,True,in_reference
较,583,2015.0,True,in_reference
书记,582,2015.0,True,in_reference
建立,581,2015.0,True,in_reference
目标,581,2015.0,True,in_reference
人工智能,581,2017.0,True,in_reference
构建,581,2017.0,True,in_reference
澎湃,580,2015.0,True,in_reference
银行,577,2015.0,True,in_reference
共,576,2015.0,True,in_reference
希望,574,2015.0,True,in_reference
号,571,2017.0,True,in_reference
发现,570,2015.0,True,in_reference
因,570,2015.0,True,in_reference
计划,570,2015.0,True,in_reference
关于,569,2015.0,True,in_reference
天,569,2015.0,True,in_reference
解决,568,2015.0,True,in_reference
加快,567,2015.0,True,in_reference
农业,565,2015.0,True,in_reference
群众,565,2015.0,True,in_reference
近,563,2015.0,True,in_reference
项,561,2015.0,True,in_reference
继续,560,2015.0,True,in_reference
应,559,2015.0,True,in_reference
形成,558,2015.0,True,in_reference
传统,553,2015.0,True,in_reference
同比,552,2017.0,True,in_reference
想,550,2015.0,True,in_reference
代表,547,2015.0,True,in_reference
乡村,543,2015.0,True,in_reference
